Source,Publications,ra,dec,SIMBAD_Name,Source_Type
IGR J17091-3624,"[['A machine learning approach for classification of accretion states of black hole binaries', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S'], [""AstroSat view of IGR J17091-3624 and GRS 1915 + 105: decoding the 'pulse' in the 'Heartbeat State'"", 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.6123K']]",257.2817083333333,-36.40713888888889,[KRL2007b] 222,LMXB
MAXI J1535-571,"[['A machine learning approach for classification of accretion states of black hole binaries', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S'], ['Spectro-timing analysis of MAXI J1535-571 using AstroSat', 'https://ui.adsabs.harvard.edu/abs/2019MNRAS.488..720B'], ['Broad-band reflection spectroscopy of MAXI J1535-571 using AstroSat: estimation of black hole mass and spin', 'https://ui.adsabs.harvard.edu/abs/2019MNRAS.487.4221S'], ['AstroSat view of MAXI J1535-571: broad-band spectro-temporal features', 'https://ui.adsabs.harvard.edu/abs/2019MNRAS.487..928S']]",233.8322083333333,-57.23002777777778,MAXI J1535-571,XB
GX 339-4,"[['A machine learning approach for classification of accretion states of black hole binaries', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S']]",255.70575416666665,-48.789767499999996,V* V821 Ara,HMXB
XTE J1859+226,"[['A machine learning approach for classification of accretion states of black hole binaries', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S']]",284.67324999999994,22.658166666666666,V* V406 Vul,HMXB
Gaia DR2,"[['Ultraviolet Imaging Telescope (UVIT) observation of the Galactic globular cluster NGC 7492', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..313K'], ['UVIT Open Cluster Study. II. Detection of Extremely Low Mass White Dwarfs and Post-Mass Transfer Binaries in M67', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...886...13J']]",0.0,0.0,0.0,0.0
NGC 7492,"[['Ultraviolet Imaging Telescope (UVIT) observation of the Galactic globular cluster NGC 7492', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..313K']]",347.11116666666663,-15.611472222222222,NGC  7492,GlCl
GRS 1915+105,"[[""AstroSat view of IGR J17091-3624 and GRS 1915 + 105: decoding the 'pulse' in the 'Heartbeat State'"", 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.6123K'], ['AstroSat view of GRS 1915+105 during the soft state: detection of HFQPOs and estimation of mass and spin', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5891S'], ['Identifying the radiative components responsible for quasi-periodic oscillations of black hole systems', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.2757G'], ['Identification of QPO Frequency of GRS 1915+105 as the Relativistic Dynamic Frequency of a Truncated Accretion Disk', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..36M'], ['Journey through the birth, growth and maturity of X-ray astronomy', 'https://ui.adsabs.harvard.edu/abs/2019RAA....19..138A'], ['A variable-frequency HFQPO in GRS 1915+105 as observed with AstroSat', 'https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.1037B'], ['Study of Timing Evolution from Nonvariable to Structured Large-amplitude Variability Transition in GRS 1915 + 105 Using AstroSat', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...870....4R']]",288.79814874999994,10.945806944444445,Granat 1915+105,HMXB
LMC X-3,"[[""Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective"", 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B']]",84.73596874999998,-64.08425583333333,X LMC X-3,HMXB
LMC X-1,"[[""Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective"", 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B'], ['Estimation of the black hole spin in LMC X-1 using AstroSat', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4404M']]",84.91178541666666,-69.74320361111111,X LMC X-1,HMXB
Cyg X-2,"[['Thermonuclear X-ray bursts detected in Cyg X-2 using AstroSat/LAXPC', 'https://ui.adsabs.harvard.edu/abs/2021NewA...8301479D']]",326.17147666666665,38.32140694444445,V* V1341 Cyg,LMXB
