Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2018-12-28,A05_056,T01,53.458332999999996,-27.966666999999998,A05_056T01_9000002604:: CDFS03,uvit2,09:15:30,0.0,0.0
2018-12-30,T03_012,T01,149.386908,33.61973,T03_012T01_9000002606:: IC2524,uvit1,16:45:20,[BKD2008] WR 402,PartofG
2018-12-30,T03_027,T01,7.4875419999999995,32.893722,T03_027T01_9000002608:: MRK 950,uvit1,23:10:16,NAME AT 2016fnl,Transient
2018-12-31,T03_071,T01,140.409708,33.360647,T03_071T01_9000002610:: A779,uvit2,10:10:22,SDSS J092142.96+332151.3,Galaxy
2019-01-01,A05_118,T02,160.879583,24.922222,A05_118T02_9000002612:: NGC3344,uvit1,07:17:21,[TSK2008] 278,GroupG
2019-01-03,A05_208,T01,196.05991699999998,-10.3396,A05_208T01_9000002614:: NGC 4939,uvit1,08:12:11,[TSK2008] 90,GroupG
2019-01-04,T03_053,T01,172.200942,58.128331,T03_053T01_9000002616:: SDSS J112848.22+580741.9,uvit1,15:11:47,SDSS J112848.22+580741.9,Star
2019-01-04,C04_009,T02,12.08,85.223917,C04_009T02_9000002618:: NGC 188,uvit1,17:37:59,Cl* NGC  188    DGV     702,Star
2019-01-04,T03_050,T01,153.722833,-15.931444,T03_050T01_9000002620:: HE 1012-1540,uvit1,19:22:59,HE 1012-1540,Pec*
2019-01-04,T03_050,T01,153.722833,-15.931444,T03_050T01_9000002620:: HE 1012-1540,uvit1,21:00:04,HE 1012-1540,Pec*
2019-01-04,T03_052,T01,171.11465800000002,36.841338,T03_052T01_9000002622:: BPS BS 16545-0089,uvit1,22:15:45,BPS BS 16545-0089,Pec*
2019-01-04,T03_052,T01,171.11465800000002,36.841338,T03_052T01_9000002622:: BPS BS 16545-0089,uvit1,23:21:39,BPS BS 16545-0089,Pec*
2019-01-05,A05_186,T02,149.191917,28.8288,A05_186T02_9000002624:: DDO 68,uvit1,02:40:52,UGC  5340,Galaxy
