,Source,Publications
22,V3890 Sgr,"[['AstroSat soft X-ray observations of the symbiotic recurrent nova V3890 Sgr during its 2019 outburst', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.501...36S']]"
23,UV 1300-1800,"[['UV spectroscopy confirms SU Lyn to be a symbiotic star', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.500L..12K']]"
24,Mrk 212,"[['A multiwavelength study of the dual nuclei in Mrk 212', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.3908R']]"
25,4C+21.35,"[['Multiwavelength study of different flaring and low-activity states of blazar 4C+21.35', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.500.1127B']]"
26,Swift J0243.6+6124,"[['AstroSat observations of the first Galactic ULX pulsar Swift J0243.6+6124', 'https://ui.adsabs.harvard.edu/abs/2021MNRAS.500..565B']]"
27,MXB 1659-29,"[['Crust structure and thermal evolution of neutron stars in soft X-ray transients', 'https://ui.adsabs.harvard.edu/abs/2021A&A...645A.102P']]"
28,GX 17+2,"[[""Coronal vertical structure variations in normal branch of GX 17+2: AstroSat's SXT and LAXPC perspective"", 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.2214M'], ['Correction to: AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track', 'https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...56A'], ['AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track', 'https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...41A']]"
29,M67,"[['UVIT/AstroSat studies of blue straggler stars and post-mass transfer systems in star clusters: detection of one more blue lurker in M67', 'https://ui.adsabs.harvard.edu/abs/2020JApA...41...45S'], ['UVIT Open Cluster Study. II. Detection of Extremely Low Mass White Dwarfs and Post-Mass Transfer Binaries in M67', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...886...13J'], ['UVIT Open Cluster Study. I. Detection of a White Dwarf Companion to a Blue Straggler in M67: Evidence of Formation through Mass Transfer', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...882...43S']]"
30,NGC 5466,"[['UVIT/AstroSat studies of blue straggler stars and post-mass transfer systems in star clusters: detection of one more blue lurker in M67', 'https://ui.adsabs.harvard.edu/abs/2020JApA...41...45S'], ['Detection of a White Dwarf Companion to a Blue Straggler Star in the Outskirts of Globular Cluster NGC 5466 with the Ultraviolet Imaging Telescope (UVIT)', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...876...34S'], ['Detection of a White Dwarf Companion to a Blue Straggler Star in the Outskirts of Globular Cluster NGC 5466 with the Ultraviolet Imaging Telescope (UVIT)', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...876...34S']]"
31,Sh 2-61,"[['Observations with the 3.6-meter Devasthal optical telescope', 'https://ui.adsabs.harvard.edu/abs/2020JApA...41...33S']]"
32,MAXI J1820+070,"[['A spectral study of the black hole X-ray binary MAXI J1820+070 with AstroSat and NuSTAR', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.5873C'], ['Unveiling the Temporal Properties of MAXI J1820+070 through AstroSat Observations', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..17M']]"
33,4U 1909+07,"[['Revisiting the spectral and timing properties of 4U 1909+07 with NuSTAR and Astrosat', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4830J']]"
34,M5,"[['Proxima Centauri - the nearest planet host observed simultaneously with AstroSat, Chandra, and HST', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.3658L']]"
35,4U 0728-25,"[['AstroSat observation of the Be/X-ray binary Pulsar 3A 0726-260 (4U 0728-25)', 'https://ui.adsabs.harvard.edu/abs/2020RAA....20..155R']]"
36,3A 0726-260,"[['AstroSat observation of the Be/X-ray binary Pulsar 3A 0726-260 (4U 0728-25)', 'https://ui.adsabs.harvard.edu/abs/2020RAA....20..155R']]"
37,LMC X-2,"[['AstroSat view of LMC X-2: evolution of broad-band X-ray spectral properties along a complete Z-track', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.3726A']]"
38,4U 1630-472,"[['AstroSat and MAXI view of the black hole binary 4U 1630-472 during 2016 and 2018 outbursts', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1197B']]"
39,MJD 55400,"[['Time evolution of cyclotron line of Her X-1: a detailed statistical analysis including new AstroSat data', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1029B']]"
40,Her X-1,"[['Time evolution of cyclotron line of Her X-1: a detailed statistical analysis including new AstroSat data', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.1029B'], ['AstroSat UVIT Observations of Her X-1', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...889..131L'], ['AstroSat SXT Observations of Her X-1', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...871..152L']]"
41,M31,"[['AstroSat UVIT Detections of Chandra X-Ray Sources in M31', 'https://ui.adsabs.harvard.edu/abs/2020ApJS..250...23L'], ['AstroSat UVIT Survey of M31: Point-source Catalog', 'https://ui.adsabs.harvard.edu/abs/2020ApJS..247...47L']]"
42,Swift J1658.2-4242,"[['An underlying clock in the extreme flip-flop state transitions of the black hole transient Swift J1658.2-4242', 'https://ui.adsabs.harvard.edu/abs/2020A&A...641A.101B'], ['Spectral and Timing Properties of the Galactic X-Ray Transient Swift J1658.2-4242 Using Astrosat Observations', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...887..101J'], [""Timing analysis of Swift J1658.2-4242's outburst in 2018 with Insight-HXMT, NICER and AstroSat"", 'https://ui.adsabs.harvard.edu/abs/2019JHEAp..24...30X']]"
43,RX J0209.6-7427,"[['Study of recent outburst in the Be/X-ray binary RX J0209.6-7427 with AstroSat: a new ultraluminous X-ray pulsar in the Magellanic Bridge?', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.495.2664C']]"
44,GRO J2058+42,"[['AstroSat Observations of GRO J2058+42 during the 2019 Outburst', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...897...73M']]"
45,3C 273,"[['Blazar Variability: A Study of Nonstationarity and the Flux-Rms Relation', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...897...25B']]"
46,PKS 2155-304,"[['Blazar Variability: A Study of Nonstationarity and the Flux-Rms Relation', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...897...25B']]"
47,Mrk 421,"[['Blazar Variability: A Study of Nonstationarity and the Flux-Rms Relation', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...897...25B']]"
48,4U 1323-62,"[['Detection of thermonuclear X-ray bursts and dips from the X-ray binary 4U 1323-62 with AstroSat/LAXPC', 'https://ui.adsabs.harvard.edu/abs/2020RAA....20...98B']]"
49,GRB 160325,"[['Spectropolarimetric analysis of prompt emission of GRB 160325A: jet with evolving environment of internal shocks', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.5218S']]"
50,4U 1700-37,"[['Possible detection of a new cyclotron feature in 4U 1700-37', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.3045B']]"
51,NGC 6440,"[['A broad-band look of the accreting millisecond X-ray pulsar SAX J1748.9-2021 using AstroSat and XMM-Newton', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.4361S']]"
52,SAX J1748.9-2021,"[['A broad-band look of the accreting millisecond X-ray pulsar SAX J1748.9-2021 using AstroSat and XMM-Newton', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.4361S']]"
53,RGB J0710+591,"[['Unravelling the unusually curved X-ray spectrum of RGB J0710 + 591 using AstroSat observations', 'https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..796G']]"
54,AUDFs01,"[['AstroSat detection of Lyman continuum emission from a z = 1.42 galaxy', 'https://ui.adsabs.harvard.edu/abs/2020NatAs...4.1185S']]"
55,Cygnus X-1,"[['Unveiling the Temporal Properties of MAXI J1820+070 through AstroSat Observations', 'https://ui.adsabs.harvard.edu/abs/2020ApJ...889L..17M'], ['A stochastic propagation model to the energy dependent rapid temporal behaviour of Cygnus X-1 as observed by AstroSat in the hard state', 'https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.2964M']]"
56,JW100,"[['GASP XXIII: A Jellyfish Galaxy as an Astrophysical Laboratory of the Baryonic Cycle', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...887..155P']]"
57,MAXI J1659-152,"[[""Timing analysis of Swift J1658.2-4242's outburst in 2018 with Insight-HXMT, NICER and AstroSat"", 'https://ui.adsabs.harvard.edu/abs/2019JHEAp..24...30X']]"
58,WOCS3001,"[['UVIT Open Cluster Study. II. Detection of Extremely Low Mass White Dwarfs and Post-Mass Transfer Binaries in M67', 'https://ui.adsabs.harvard.edu/abs/2019ApJ...886...13J']]"
